URL,time_comment,name_cmt,content_cmt,info_cmt,like_count
https://www.lazada.vn/products/iphone-15-hang-chinh-hang-vna-i2417259469.html,14 thg 11 2023,T***.,Mua hàng chính hãng tại Apple flagship store thì không phải lo nữa rồi. Màu hồng siêu iu nha mọi người. Gói hàng cực kì cẩn thận luôn ạ. J&T giao hàng cực kì nhanh. 100 điểm ạ,"Nhóm Màu:Pink, Dung Lượng Lưu Trữ:128GB",4
https://www.lazada.vn/products/iphone-15-hang-chinh-hang-vna-i2417259469.html,02 thg 12 2023,B***h,"Chất lượng:  
- Giao hàng nhanh. 
- SP đúng chính hãng. 
- Lần đầu mua nên cũng hồi hộp, nhưng shipper rất uy tin và chuyên nghiệp, hướng dẫn rõ ràng.
Hài lòng👍🏻👍🏻","Nhóm Màu:Xanh dương, Dung Lượng Lưu Trữ:128GB",0
https://www.lazada.vn/products/iphone-15-hang-chinh-hang-vna-i2417259469.html,17 giờ trước,TRAN T.,"Shop chuẩn bị giao hàng nhanh, hình ảnh mang tính chất nhận xu","Nhóm Màu:Black, Dung Lượng Lưu Trữ:128GB",0
https://www.lazada.vn/products/iphone-15-hang-chinh-hang-vna-i2417259469.html,17 thg 10 2023,T***.,"Giao hàng đúng hẹn, chất lượng máy tốt","Nhóm Màu:Màu Xanh Lá Cây, Dung Lượng Lưu Trữ:256GB",0
https://www.lazada.vn/products/iphone-15-hang-chinh-hang-vna-i2417259469.html,30 thg 9 2023,Trang C.,"Màu hồng cưng xiu, triệu like","Nhóm Màu:Hồng, Dung Lượng Lưu Trữ:256GB",6
https://www.lazada.vn/products/iphone-15-hang-chinh-hang-vna-i2417259469.html,14 thg 11 2023,T***.,Mua hàng chính hãng tại Apple flagship store thì không phải lo nữa rồi. Màu hồng siêu iu nha mọi người. Gói hàng cực kì cẩn thận luôn ạ. J&T giao hàng cực kì nhanh. 100 điểm ạ,"Nhóm Màu:Pink, Dung Lượng Lưu Trữ:128GB",4
https://www.lazada.vn/products/iphone-15-hang-chinh-hang-vna-i2417259469.html,02 thg 12 2023,B***h,"Chất lượng:  
- Giao hàng nhanh. 
- SP đúng chính hãng. 
- Lần đầu mua nên cũng hồi hộp, nhưng shipper rất uy tin và chuyên nghiệp, hướng dẫn rõ ràng.
Hài lòng👍🏻👍🏻","Nhóm Màu:Xanh dương, Dung Lượng Lưu Trữ:128GB",0
https://www.lazada.vn/products/iphone-15-hang-chinh-hang-vna-i2417259469.html,17 giờ trước,TRAN T.,"Shop chuẩn bị giao hàng nhanh, hình ảnh mang tính chất nhận xu","Nhóm Màu:Black, Dung Lượng Lưu Trữ:128GB",0
https://www.lazada.vn/products/iphone-15-hang-chinh-hang-vna-i2417259469.html,17 thg 10 2023,T***.,"Giao hàng đúng hẹn, chất lượng máy tốt","Nhóm Màu:Màu Xanh Lá Cây, Dung Lượng Lưu Trữ:256GB",0
https://www.lazada.vn/products/iphone-15-hang-chinh-hang-vna-i2417259469.html,30 thg 9 2023,Trang C.,"Màu hồng cưng xiu, triệu like","Nhóm Màu:Hồng, Dung Lượng Lưu Trữ:256GB",6
