Platform,URL,customer_name,time_comment,content,thank_count,rating
Shopee,https://shopee.vn/Apple-iPhone-15-Pro-Max-256GB-Ch%C3%ADnh-h%C3%A3ng-VN-A-i.308461157.23354704062?sp_atk=1e856b60-89af-4613-bc12-cbf868a40cf4&xptdk=1e856b60-89af-4613-bc12-cbf868a40cf4,namm.1993,2023-10-25 17:27 | Phân loại hàng: White Titanium,"#NGOCNAM mua điện thoại trên shopee mà ở shop viettel thì uy tín và chất lượng rồi. Bảo hành và đóng hàng rất cẩn thận luôn 🥰🥰🥰
Ae cứ mua vô tư nhé",97,5
Shopee,https://shopee.vn/Apple-iPhone-15-Pro-Max-256GB-Ch%C3%ADnh-h%C3%A3ng-VN-A-i.308461157.23354704062?sp_atk=1e856b60-89af-4613-bc12-cbf868a40cf4&xptdk=1e856b60-89af-4613-bc12-cbf868a40cf4,longvu8118,2024-01-26 11:16 | Phân loại hàng: Natural Titanium,"Đúng với mô tả: rất chuẩn
Hàng chính hãng VN. Giao hàng nhanh. Đóng gói cẩn thận. Được trả góp. Tuyệt. Sẽ ủng hộ tiếp Shop Viettel",37,5
Shopee,https://shopee.vn/Apple-iPhone-15-Pro-Max-256GB-Ch%C3%ADnh-h%C3%A3ng-VN-A-i.308461157.23354704062?sp_atk=1e856b60-89af-4613-bc12-cbf868a40cf4&xptdk=1e856b60-89af-4613-bc12-cbf868a40cf4,namm.1993,2023-10-25 17:26 | Phân loại hàng: Natural Titanium,#NGOCNAM mua điện thoại trên shopee mà ở shop viettel thì uy tín và chất lượng rồi. Bảo hành và đóng hàng rất cẩn thận luôn 🥰🥰🥰,66,5
Shopee,https://shopee.vn/Apple-iPhone-15-Pro-Max-256GB-Ch%C3%ADnh-h%C3%A3ng-VN-A-i.308461157.23354704062?sp_atk=1e856b60-89af-4613-bc12-cbf868a40cf4&xptdk=1e856b60-89af-4613-bc12-cbf868a40cf4,maitung_dn,2023-11-28 06:14 | Phân loại hàng: Natural Titanium,"Chất lượng sản phẩm: Tốt
Đúng với mô tả: Đúng
Sản phẩm chính hãng , lần đầu tiên mình mua của cửa hàng viettel store , mà mua online viettel store vẫn có giấy bảo hành đầy đủ , đóng gói cẩn thận",36,5
Shopee,https://shopee.vn/Apple-iPhone-15-Pro-Max-256GB-Ch%C3%ADnh-h%C3%A3ng-VN-A-i.308461157.23354704062?sp_atk=1e856b60-89af-4613-bc12-cbf868a40cf4&xptdk=1e856b60-89af-4613-bc12-cbf868a40cf4,6hdbxggjia,2023-11-03 15:02 | Phân loại hàng: Natural Titanium,"Đúng với mô tả: chuẩn
Tính năng nổi bật: ok
Chất lượng sản phẩm: tốt
Hàng nhận đẹp đúng như mô tả, đóng gói cẩn thận. Giao hàng nhanh",33,5
Shopee,https://shopee.vn/Apple-iPhone-15-Pro-Max-256GB-Ch%C3%ADnh-h%C3%A3ng-VN-A-i.308461157.23354704062?sp_atk=1e856b60-89af-4613-bc12-cbf868a40cf4&xptdk=1e856b60-89af-4613-bc12-cbf868a40cf4,dz70jpwvv8,2023-11-03 15:00 | Phân loại hàng: Natural Titanium,"Đúng với mô tả: chuẩn
Tính năng nổi bật: ok
Chất lượng sản phẩm: tốt
Hàng nhận đẹp đúng như mô tả, đóng gói cẩn thận. Giao hàng nhanh",24,5
Shopee,https://shopee.vn/Apple-iPhone-15-Pro-Max-256GB-Ch%C3%ADnh-h%C3%A3ng-VN-A-i.308461157.23354704062?sp_atk=1e856b60-89af-4613-bc12-cbf868a40cf4&xptdk=1e856b60-89af-4613-bc12-cbf868a40cf4,sangpo1997,2023-11-15 21:06 | Phân loại hàng: White Titanium,"Đúng với mô tả: đúng
Chất lượng sản phẩm: tốt
Tính năng nổi bật: đẹp
Sản phẩm đúng như mô tả chất lượng tốt, săn sale nên được giá tốt giao hàng nhanh chóng, sẽ ủng hộ shop thêm",57,5
Shopee,https://shopee.vn/Apple-iPhone-15-Pro-Max-256GB-Ch%C3%ADnh-h%C3%A3ng-VN-A-i.308461157.23354704062?sp_atk=1e856b60-89af-4613-bc12-cbf868a40cf4&xptdk=1e856b60-89af-4613-bc12-cbf868a40cf4,m9bxk_6c9d,2023-10-13 14:02 | Phân loại hàng: Blue Titanium,"Chất lượng sản phẩm: tốt
Tính năng nổi bật: ok
Đúng với mô tả: chuẩn
Hàng nhận đẹp đúng như mô tả, đóng gói cẩn thận. Giao hàng nhanh",9,5
Shopee,https://shopee.vn/Apple-iPhone-15-Pro-Max-256GB-Ch%C3%ADnh-h%C3%A3ng-VN-A-i.308461157.23354704062?sp_atk=1e856b60-89af-4613-bc12-cbf868a40cf4&xptdk=1e856b60-89af-4613-bc12-cbf868a40cf4,nguyenthicamtien1803,2023-11-18 18:42 | Phân loại hàng: Natural Titanium,"Chất lượng sản phẩm: ok
Đúng với mô tả: ok
Tính năng nổi bật: ok
Hàng hoá ok ko có điểm chê săn dc giá rẻ nữa quá ok ui . Hy vọng chính sách hậu mãi tốt .",12,5
Shopee,https://shopee.vn/Apple-iPhone-15-Pro-Max-256GB-Ch%C3%ADnh-h%C3%A3ng-VN-A-i.308461157.23354704062?sp_atk=1e856b60-89af-4613-bc12-cbf868a40cf4&xptdk=1e856b60-89af-4613-bc12-cbf868a40cf4,thangnguyen1441995,2023-12-14 22:19 | Phân loại hàng: Natural Titanium,"Chất lượng sản phẩm: tuyeetj vowif
Đúng với mô tả: đúng màu
Sản phẩm ok. Mua trên này đc mã voucher rất tốt . Hàng đẹp . Sau này sẽ mua tiếp cho gia đình và bạn bè dùng",14,5
