Platform_x,URL,Date Crawled,Store,Product Title,brand,Current Price,Discounted Price,Discount,Available Colors,sold_quanlity,rating_averrage,rating_count,Platform_y,customer_name,time_comment,content,thank_count,rating
Shopee,https://shopee.vn/Apple-iPhone-15-Plus-128GB-i.288286284.23555130713?sp_atk=d60a40a1-53ca-40c1-a3f3-38bbc882deee&xptdk=d60a40a1-53ca-40c1-a3f3-38bbc882deee,3/19/2024,ShopDunk Official Store,Apple iPhone 15 Plus 128GB,Apple,₫29.990.000,₫23.590.000,21% GIẢM,"['Blue', 'Black', 'Pink', 'Green', 'Yellow']",354,4.9,77,Shopee,anhanh3868,2023-12-18 09:41 | Phân loại hàng: Pink,"Đúng với mô tả: đúng
Tính năng nổi bật: không có
Chất lượng sản phẩm: good
Shop giao hàng nguyên đai nguyên kiện có dán băng dính của shop, người giao hàng xác nhận đúng chính chủ mới được nhận hàng",9,5
Shopee,https://shopee.vn/Apple-iPhone-15-Plus-128GB-i.288286284.23555130713?sp_atk=d60a40a1-53ca-40c1-a3f3-38bbc882deee&xptdk=d60a40a1-53ca-40c1-a3f3-38bbc882deee,3/19/2024,ShopDunk Official Store,Apple iPhone 15 Plus 128GB,Apple,₫29.990.000,₫23.590.000,21% GIẢM,"['Blue', 'Black', 'Pink', 'Green', 'Yellow']",354,4.9,77,Shopee,g*****4,2024-01-17 14:14 | Phân loại hàng: Pink,"Chất lượng sản phẩm: qua tuyet voi
Đúng với mô tả: chuan mo ta
Tính năng nổi bật: đầy đủ tính năng
Giao hàng nhanh đóng cẩn thận",7,5
Shopee,https://shopee.vn/Apple-iPhone-15-Plus-128GB-i.288286284.23555130713?sp_atk=d60a40a1-53ca-40c1-a3f3-38bbc882deee&xptdk=d60a40a1-53ca-40c1-a3f3-38bbc882deee,3/19/2024,ShopDunk Official Store,Apple iPhone 15 Plus 128GB,Apple,₫29.990.000,₫23.590.000,21% GIẢM,"['Blue', 'Black', 'Pink', 'Green', 'Yellow']",354,4.9,77,Shopee,hadang443,2024-01-30 17:23 | Phân loại hàng: Green,"Đã nhận hàng, đóng gói rất cẩn thận. Ip thì rất uy tín rồi khỏi bàn về chất lượng. Mua đúng ngày sale nên rẻ đc 2 triệu, phấn khởi. Sau mua mình cũng sẽ mua trên shop để hưởng km",Hữu Ích?,5
Shopee,https://shopee.vn/Apple-iPhone-15-Plus-128GB-i.288286284.23555130713?sp_atk=d60a40a1-53ca-40c1-a3f3-38bbc882deee&xptdk=d60a40a1-53ca-40c1-a3f3-38bbc882deee,3/19/2024,ShopDunk Official Store,Apple iPhone 15 Plus 128GB,Apple,₫29.990.000,₫23.590.000,21% GIẢM,"['Blue', 'Black', 'Pink', 'Green', 'Yellow']",354,4.9,77,Shopee,namu61993,2023-10-22 08:03 | Phân loại hàng: Pink,Thật là tuyệt vời khi nhận được em nó. Màu đẹp quá. Làm quà cho chị em thi hết nước chấm luôn ạ. Quá tuyệt vời ông mặt trời #ngoknam93,13,5
Shopee,https://shopee.vn/Apple-iPhone-15-Plus-128GB-i.288286284.23555130713?sp_atk=d60a40a1-53ca-40c1-a3f3-38bbc882deee&xptdk=d60a40a1-53ca-40c1-a3f3-38bbc882deee,3/19/2024,ShopDunk Official Store,Apple iPhone 15 Plus 128GB,Apple,₫29.990.000,₫23.590.000,21% GIẢM,"['Blue', 'Black', 'Pink', 'Green', 'Yellow']",354,4.9,77,Shopee,johnnytrong92,2024-03-09 11:14 | Phân loại hàng: Green,Rất hài lòng về chất lượng máy và cách đóng gói kỹ càng của shopdunk,1,5
Shopee,https://shopee.vn/Apple-iPhone-15-Plus-128GB-i.288286284.23555130713?sp_atk=d60a40a1-53ca-40c1-a3f3-38bbc882deee&xptdk=d60a40a1-53ca-40c1-a3f3-38bbc882deee,3/19/2024,ShopDunk Official Store,Apple iPhone 15 Plus 128GB,Apple,₫29.990.000,₫23.590.000,21% GIẢM,"['Blue', 'Black', 'Pink', 'Green', 'Yellow']",354,4.9,77,Shopee,namu61993,2023-10-15 01:16 | Phân loại hàng: Pink,Màu hồng đẹp quá. Tuyệt vời ông mặt trời luôn ạ. Cho shopdunk 100₫ luôn 😍😍😍😍,21,5
Shopee,https://shopee.vn/Apple-iPhone-15-Plus-128GB-i.288286284.23555130713?sp_atk=d60a40a1-53ca-40c1-a3f3-38bbc882deee&xptdk=d60a40a1-53ca-40c1-a3f3-38bbc882deee,3/19/2024,ShopDunk Official Store,Apple iPhone 15 Plus 128GB,Apple,₫29.990.000,₫23.590.000,21% GIẢM,"['Blue', 'Black', 'Pink', 'Green', 'Yellow']",354,4.9,77,Shopee,manhhang66,2023-12-01 20:38 | Phân loại hàng: Pink,Giao hàng chuẩn hàng chính hãng. Giao hàng nhanh đóng gói sản phẩm cẩn thận,1,5
Shopee,https://shopee.vn/Apple-iPhone-15-Plus-128GB-i.288286284.23555130713?sp_atk=d60a40a1-53ca-40c1-a3f3-38bbc882deee&xptdk=d60a40a1-53ca-40c1-a3f3-38bbc882deee,3/19/2024,ShopDunk Official Store,Apple iPhone 15 Plus 128GB,Apple,₫29.990.000,₫23.590.000,21% GIẢM,"['Blue', 'Black', 'Pink', 'Green', 'Yellow']",354,4.9,77,Shopee,khoivo98,2023-12-01 03:39 | Phân loại hàng: Pink,Đóng gói cẩn thận. Giao hàng nhanh. Săn được giá tốt. Sẽ ủng hộ tiếp,2,5
Shopee,https://shopee.vn/Apple-iPhone-15-Plus-128GB-i.288286284.23555130713?sp_atk=d60a40a1-53ca-40c1-a3f3-38bbc882deee&xptdk=d60a40a1-53ca-40c1-a3f3-38bbc882deee,3/19/2024,ShopDunk Official Store,Apple iPhone 15 Plus 128GB,Apple,₫29.990.000,₫23.590.000,21% GIẢM,"['Blue', 'Black', 'Pink', 'Green', 'Yellow']",354,4.9,77,Shopee,__kuro.neko__,2023-12-22 23:19 | Phân loại hàng: Pink,"Máy nguyên seal kèm bill đầy đủ, giao hàng khá lâu dù ngay nội thành HN, phải giục đơn qua shopee mấy lần mới nhận đc",4,5
Shopee,https://shopee.vn/Apple-iPhone-15-Plus-128GB-i.288286284.23555130713?sp_atk=d60a40a1-53ca-40c1-a3f3-38bbc882deee&xptdk=d60a40a1-53ca-40c1-a3f3-38bbc882deee,3/19/2024,ShopDunk Official Store,Apple iPhone 15 Plus 128GB,Apple,₫29.990.000,₫23.590.000,21% GIẢM,"['Blue', 'Black', 'Pink', 'Green', 'Yellow']",354,4.9,77,Shopee,nhat_nam_2020,2024-01-16 15:33 | Phân loại hàng: Pink,"Đúng với mô tả: chuẩn như gì giới thiệu
Tính năng nổi bật: đầy đủ tính năng
Chất lượng sản phẩm: tuyệt vời
Giao hàng nhanh",1,5
