Platform,URL,Date Crawled,Store,Product Title,brand,Current Price,Discounted Price,Discount,Available Colors,sold_quanlity,rating_averrage,rating_count
Shopee,https://shopee.vn/Apple-iPhone-15-Plus-128GB-i.288286284.23555130713?sp_atk=d60a40a1-53ca-40c1-a3f3-38bbc882deee&xptdk=d60a40a1-53ca-40c1-a3f3-38bbc882deee,3/19/2024,ShopDunk Official Store,Apple iPhone 15 Plus 128GB,Apple,₫29.990.000,₫23.590.000,21% GIẢM,"['Blue', 'Black', 'Pink', 'Green', 'Yellow']",354,4.9,77
Shopee,https://shopee.vn/Apple-iPhone-15-Pro-Max-256GB-Ch%C3%ADnh-h%C3%A3ng-VN-A-i.308461157.23354704062?sp_atk=98f5b9c0-3fb9-4706-b764-4778583d8f2f&xptdk=98f5b9c0-3fb9-4706-b764-4778583d8f2f,3/19/2024,Viettel Store - AAR,Apple iPhone 15 Pro Max 256GB Chính hãng VN/A,Apple,₫37.790.000,₫32.090.000 - ₫32.890.000,15% GIẢM,"['Natural Titanium', 'Blue Titanium', 'White Titanium', 'Black Titanium']","5,9k",5,1100
Shopee,https://shopee.vn/Apple-iPhone-15-Pro-128GB-Ch%C3%ADnh-h%C3%A3ng-VN-A-i.308461157.22180197277?sp_atk=256de47f-d920-445b-b76a-700a3ede13d5&xptdk=256de47f-d920-445b-b76a-700a3ede13d5,3/19/2024,Viettel Store - AAR,Apple iPhone 15 Pro 128GB Chính hãng VN/A,Apple,₫30.990.000,₫26.990.000 - ₫27.490.000,13% GIẢM,"['Natural Titanium', 'Blue Titanium', 'White Titanium', 'Black Titanium']",494,5,119
Shopee,https://shopee.vn/%C4%90i%E1%BB%87n-tho%E1%BA%A1i-Apple-iPhone-15-Pro-Max-256GB-i.288286284.21993222972?sp_atk=17f3217a-2001-42fa-a6d6-18573aaa7ac9&xptdk=17f3217a-2001-42fa-a6d6-18573aaa7ac9,3/19/2024,ShopDunk Official Store,Điện thoại Apple iPhone 15 Pro Max 256GB,Apple,₫43.990.000,₫31.880.000 - ₫32.460.000,28% GIẢM,"['Natural Titanium', 'Black Titanium', 'White Titanium', 'Blue Titanium']","2,4k",5,472
Shopee,https://shopee.vn/%C4%90i%E1%BB%87n-tho%E1%BA%A1i-Apple-iPhone-15-Pro-128GB-i.88201679.21184086567?sp_atk=381c5d47-ba0d-41d3-9b03-24ac7a6bb240&xptdk=381c5d47-ba0d-41d3-9b03-24ac7a6bb240,3/19/2024,Apple Flagship Store,Điện thoại Apple iPhone 15 Pro 128GB,Apple,₫28.999.000,₫26.990.000 - ₫27.090.000,7% GIẢM,"['Titan - Tự Nhiên', 'Titan - Xanh', 'Titan - Trắng', 'Titan - Đen']","3,4k",4.9,775
Shopee,https://shopee.vn/%C4%90i%E1%BB%87n-tho%E1%BA%A1i-Apple-iPhone-15-Pro-Max-256GB-i.88201679.20493037179?sp_atk=3e683f99-9689-4865-9226-2458318c4b9d&xptdk=3e683f99-9689-4865-9226-2458318c4b9d,3/19/2024,Apple Flagship Store,Điện thoại Apple iPhone 15 Pro Max 256GB,Apple,₫34.999.000,₫31.490.000 - ₫32.190.000,10% GIẢM,"['Titan - Tự Nhiên', 'Titan - Xanh', 'Titan - Trắng', 'Titan - Đen']","18,6k",5,3700
Shopee,https://shopee.vn/Apple-iPhone-15-Pro-128GB-i.288286284.20084281397?sp_atk=c6d35042-0382-4802-8924-3c0f7fa3a55c&xptdk=c6d35042-0382-4802-8924-3c0f7fa3a55c,3/19/2024,ShopDunk Official Store,Apple iPhone 15 Pro 128GB,Apple,₫35.990.000,₫26.750.000 - ₫27.150.000,26% GIẢM,"['Natural Titanium', 'Black Titanium', 'White Titanium', 'Blue Titanium']",303,5,70
Shopee,https://shopee.vn/%C4%90i%E1%BB%87n-tho%E1%BA%A1i-Apple-iPhone-15-128GB-i.88201679.18093055535?sp_atk=b5d16750-d968-4ee1-994c-da2bce069fe3&xptdk=b5d16750-d968-4ee1-994c-da2bce069fe3,3/19/2024,Apple Flagship Store,Điện thoại Apple iPhone 15 128GB,Apple,₫22.999.000,₫20.390.000 - ₫20.490.000,11% GIẢM,"['Xanh dương', 'Hồng', 'Vàng', 'Xanh lá', 'Đen']","4,1k",4.9,950
Shopee,https://shopee.vn/%C4%90i%E1%BB%87n-tho%E1%BA%A1i-Apple-iPhone-15-Pro-256GB-i.88201679.16398837922?sp_atk=41ecef75-5ce3-430d-b3b8-f8a900024f4c&xptdk=41ecef75-5ce3-430d-b3b8-f8a900024f4c,3/19/2024,Apple Flagship Store,Điện thoại Apple iPhone 15 Pro 256GB,Apple,₫31.999.000,₫30.290.000 - ₫31.999.000,5% GIẢM,"['Titan - Tự Nhiên', 'Titan - Xanh', 'Titan - Trắng', 'Titan - Đen']",988,4.9,230
Shopee,https://shopee.vn/Apple-iPhone-15-Pro-256GB-Ch%C3%ADnh-h%C3%A3ng-VN-A-i.308461157.10399904059?sp_atk=af786ca9-361d-45dd-82b9-a6d65c79bbcc&xptdk=af786ca9-361d-45dd-82b9-a6d65c79bbcc,3/19/2024,Viettel Store - AAR,Apple iPhone 15 Pro 256GB Chính hãng VN/A,Apple,₫34.190.000,₫29.990.000,12% GIẢM,"['Blue Titanium', 'Natural Titanium', 'White Titanium', 'Black Titanium']",275,4.8,65
Shopee,https://shopee.vn/%C4%90i%E1%BB%87n-Tho%E1%BA%A1i-Samsung-Galaxy-S23-(S23-Plus)-H%C3%A0ng-Ch%C3%ADnh-H%C3%A3ng-i.1013588070.22544881683?sp_atk=e329aefb-3ac8-4e46-8ba4-050dd7d21b25&xptdk=e329aefb-3ac8-4e46-8ba4-050dd7d21b25,3/19/2024,Di Động Minh Anh,Điện Thoại Samsung Galaxy S23+ (S23 Plus)- Hàng Chính Hãng,,₫18.590.000,₫17.390.000,6% GIẢM,"['KEM', 'XANH', 'ĐEN', 'TÍM NHẠT']",376,5,138
Shopee,https://shopee.vn/%C4%90i%E1%BB%87n-Tho%E1%BA%A1i-Samsung-Galaxy-S23-H%C3%A0ng-ch%C3%ADnh-h%C3%A3ng-m%E1%BB%9Bi-100-New-Seal-i.48406301.20373648039?sp_atk=518b5e1a-5985-47b1-8515-b09522a63d6a&xptdk=518b5e1a-5985-47b1-8515-b09522a63d6a,3/19/2024,SHOPSAMSUNG.VN LINHPHUKIEN.VN,Điện Thoại Samsung Galaxy S23 - Hàng chính hãng mới 100% New Seal,,₫22.990.000,₫15.290.000,33% GIẢM,"['128GB', '256GB']",248,5,94
Shopee,https://shopee.vn/%C4%90i%E1%BB%87n-Tho%E1%BA%A1i-Samsung-Galaxy-S23-(8GB-256GB)-i.65589552.20071011557?sp_atk=1bf4c8b8-aac2-463d-8ddb-adc34d0af942&xptdk=1bf4c8b8-aac2-463d-8ddb-adc34d0af942,3/19/2024,SAMSUNG OFFICIAL STORE,Điện Thoại Samsung Galaxy S23 (8GB/256GB),,,₫24.990.000,,"['Light Pink', 'Beige', 'Green', 'Black']",129,4.9,53
Shopee,https://shopee.vn/%C4%90i%E1%BB%87n-Tho%E1%BA%A1i-Samsung-Galaxy-S23-Ultra-H%C3%A0ng-Ch%C3%ADnh-H%C3%A3ng-i.1039678074.18591358472?sp_atk=92218f1f-9648-402a-8c44-c031f70ed939&xptdk=92218f1f-9648-402a-8c44-c031f70ed939,3/19/2024,MinhNguyễn Shop,Điện Thoại Samsung Galaxy S23 Ultra - Hàng Chính Hãng,,,₫21.990.000 - ₫25.990.000,,"['TÍM', 'KEM', 'XANH', 'ĐEN']",119,5,89
Shopee,https://shopee.vn/%C4%90i%E1%BB%87n-Tho%E1%BA%A1i-Samsung-Galaxy-S23-Plus-5G-Ch%C3%ADnh-H%C3%A3ng-New-i.1039322456.18484581744?sp_atk=0c4e9cbd-9abf-4583-bebe-e0f92b6a155f&xptdk=0c4e9cbd-9abf-4583-bebe-e0f92b6a155f,3/19/2024,TCMOBEO,Điện Thoại Samsung Galaxy S23 Plus 5G - Chính Hãng - New,,,₫26.990.000 - ₫29.990.000,,"['Tím', 'Đen', 'Xanh', 'Kem']",92,5,52
