id,sku,Date Crawled,brand_id,brand_name,store,product_name,current_price,discount_price,discount,colors,sold_quanlity,rating_count,rating_average
274037360,1.50224E+12,3/2/2024,406575,POCO,Tiki Trading,Điện Thoại POCO C65 (6GB/128GB) - Hàng Chính Hãng,3090000,2690000,13,[{'label': 'Đen'}],2270,13,4.6
273947792,1.79002E+12,3/2/2024,18802,Samsung,Tiki Trading,"Điện thoại AI Samsung Galaxy S24 Ultra, Camera 200MP Zoom 100x, S Pen - Hàng Chính Hãng",34490000,26990000,22,"[{'label': 'Tím'}, {'label': 'Vàng'}, {'label': 'Xám'}, {'label': 'Đen'}]",351,0,0
273947785,9.45546E+12,3/2/2024,18802,Samsung,Tiki Trading,"Điện thoại AI Samsung Galaxy S24+, Camera 50MP, Màn hình 6.7""- Hàng Chính Hãng",27490000,20990000,24,"[{'label': 'Tím'}, {'label': 'Xám'}, {'label': 'Đen'}]",8,0,0
244308977,8.83064E+12,3/2/2024,25422,Xiaomi,Hồng Hạnh Mobile,Điện Thoại Xiaomi Redmi 12C 4GB/64GB - Hàng Chính Hãng,3590000,2489000,31,[{'label': 'Xanh Bạc Hà'}],9,5,4.8
273016223,7.76689E+12,3/2/2024,25422,Xiaomi,Hồng Hạnh Mobile,Điện Thoại Xiaomi Redmi A2 2GB/32GB - Hàng Chính Hãng,2190000,1769000,19,"[{'label': ' Đen'}, {'label': 'Xanh Dương'}]",2,0,0
184036446,9.32094E+12,3/2/2024,17827,Apple,Tiki Trading,Apple iPhone 11,12990000,9990000,23,"[{'label': 'Trắng'}, {'label': 'Đen'}]",13962,2983,4.8
184059211,3.64352E+12,3/2/2024,17827,Apple,Tiki Trading,Apple iPhone 13,24990000,14490000,42,"[{'label': 'Hồng'}, {'label': 'Trắng'}, {'label': 'Xanh Dương'}, {'label': 'Xanh Lá'}, {'label': 'Đen'}]",5749,1833,5
57809866,6.69374E+12,3/2/2024,25422,Xiaomi,Tiki Trading,Điện thoại Xiaomi Redmi 9A (2GB/32GB) - Hàng chính hãng,2490000,1790000,28,"[{'label': 'Xanh Lá'}, {'label': 'Xanh lam'}, {'label': 'Xám'}]",6153,837,4.7
120295859,8.47976E+12,3/2/2024,19673,Nokia,Tiki Trading,Điện Thoại Nokia C30 (2GB/32GB) - Hàng Chính Hãng,1990000,1490000,25,[{'label': 'Xanh'}],883,210,4.7
175845367,1.67683E+12,3/2/2024,18802,Samsung,Tiki Trading,Điện Thoại Samsung Galaxy S20 FE (8GB/256GB) - Hàng Chính Hãng - Đã kích hoạt bảo hành điện tử,9990000,7090000,29,[{'label': 'Xanh Thanh Mát'}],729,220,4.8
204671569,7.5813E+12,3/2/2024,25643,OPPO,Hồng Hạnh Mobile,Điện Thoại Oppo A17k 3GB/64GB - Hàng Chính Hãng,3290000,2599000,21,"[{'label': ' Xanh  '}, {'label': 'Vàng'}]",3,0,0
198968094,4.68543E+12,3/2/2024,25422,Xiaomi,Hồng Hạnh Mobile,Điện Thoại Xiaomi Redmi A1 2GB/32GB - Hàng Chính Hãng,2190000,1789000,18,"[{'label': ' Đen'}, {'label': 'Xanh Dương'}, {'label': 'Xanh Lá'}]",9,2,5
57809866,6.69374E+12,3/2/2024,25422,Xiaomi,Tiki Trading,Điện thoại Xiaomi Redmi 9A (2GB/32GB) - Hàng chính hãng,2490000,1790000,28,"[{'label': 'Xanh Lá'}, {'label': 'Xanh lam'}, {'label': 'Xám'}]",6153,837,4.7
203278278,5.52035E+12,3/2/2024,18802,Samsung,Hồng Hạnh Mobile,Điện Thoại Samsung A04 3GB/32GB - Hàng Chính Hãng,2990000,2119000,29,"[{'label': 'Xanh Dương Xỉ'}, {'label': 'Đen Tinh Vân'}, {'label': 'Đồng Ánh Hồng'}]",55,14,5
121744434,8.52458E+12,3/2/2024,25422,Xiaomi,Hồng Hạnh Mobile,Điện Thoại Xiaomi Redmi 10 4GB/128GB - Hàng Chính Hãng,4290000,3119000,27,"[{'label': 'Xanh Đại Dương'}, {'label': 'Xám Carbon'}]",131,48,4.8
123345348,6.35277E+12,3/2/2024,17827,Apple,Tiki Trading,Apple iPhone 12,16990000,12490000,26,"[{'label': 'Trắng'}, {'label': 'Tím'}, {'label': 'Xanh Lá'}, {'label': 'Đen'}]",2801,1277,5
