Platform,URL,Date Crawled,Product Title,Current Price,Discounted Price,Discount,Rating Average,Rating Count
FPT,https://fptshop.com.vn/dien-thoai/iphone-15-pro-max?dung-luong=256gb,3/9/2024,iPhone 15 Pro Max 256GB (No.00904369),34.990.000₫,30.990.000₫,-11%,5-Apr,63 đánh giá
FPT,https://fptshop.com.vn/dien-thoai/iphone-15-pro-max?dung-luong=512gb,3/9/2024,iPhone 15 Pro Max 512GB (No.00904373),40.990.000₫,37.990.000₫,-7%,5-Apr,3 đánh giá
FPT,https://fptshop.com.vn/dien-thoai/iphone-15-pro-max?dung-luong=1tb,3/9/2024,iPhone 15 Pro Max 1TB (No.00904378),46.990.000₫,44.490.000₫,-5%,5-May,7 đánh giá
FPT,https://fptshop.com.vn/dien-thoai/iphone-15-pro?dung-luong=128gb,3/9/2024,iPhone 15 Pro 128GB (No.00904305),28.990.000₫,26.690.000₫,-7%,5-Apr,38 đánh giá
FPT,https://fptshop.com.vn/dien-thoai/iphone-15-pro?dung-luong=256gb,3/9/2024,iPhone 15 Pro 256GB (No.00904307),31.990.000₫,28.990.000₫,-9%,5-May,25 đánh giá
FPT,https://fptshop.com.vn/dien-thoai/iphone-15-pro?dung-luong=512gb,3/9/2024,iPhone 15 Pro 512GB (No.00904313),37.990.000₫,35.490.000₫,-6%,5-May,3 đánh giá
FPT,https://fptshop.com.vn/dien-thoai/iphone-15-pro?dung-luong=1tb,3/9/2024,iPhone 15 Pro 1TB (No.00904317),43.990.000₫,41.490.000₫,-5%,,0 đánh giá
FPT,https://fptshop.com.vn/dien-thoai/iphone-15-plus?dung-luong=128gb,3/9/2024,iPhone 15 Plus 128GB (No.00904262),25.990.000₫,23.190.000₫,-10%,5-Apr,28 đánh giá
FPT,https://fptshop.com.vn/dien-thoai/iphone-15-plus?dung-luong=256gb,3/9/2024,iPhone 15 Plus 256GB (No.00904263),28.990.000₫,26.490.000₫,-8%,5-May,1 đánh giá
FPT,https://fptshop.com.vn/dien-thoai/iphone-15-plus?dung-luong=256gb,3/9/2024,iPhone 15 Plus 256GB (No.00904263),28.990.000₫,26.490.000₫,-8%,5-May,1 đánh giá
FPT,https://fptshop.com.vn/dien-thoai/iphone-15?dung-luong=128gb,3/9/2024,iPhone 15 128GB (No.00904217),22.990.000₫,20.190.000₫,-12%,5-Apr,25 đánh giá
FPT,https://fptshop.com.vn/dien-thoai/iphone-15?dung-luong=256gb,3/9/2024,iPhone 15 256GB (No.00904219),25.990.000₫,23.490.000₫,-9%,5-May,1 đánh giá
