sentence,sentiment
mua hàng chính hãng tại aple flagship store thì không phải lo nữa rồi,positive
màu hồng_siêu iu_nha mọi người,positive
gói hàng cực_kì cẩn_thận luôn ạ,positive
gì ta giao hàng cực_kì nhanh,positive
10 điểm ạ,positive
tốt lượng giao hàng nhanh,positive
sản_phẩm đúng chính hãng,
lần đầu mua nên cũng hồi_hộp nhưng shiper rất uy_tin và chuyên_nghiệp hướng_dẫn rõ_ràng,
hài lòngthumbs up light skin tonethumbs up light skin tone,positive
shop chuẩn_bị giao hàng nhanh hình_ảnh mang tính tốt nhận xu,positive
giao hàng đúng hẹn tốt lượng máy tốt,positive
màu hồng cưng xiu triệu like,positive
mua hàng chính hãng tại aple flagship store thì không phải lo nữa rồi,positive
màu hồng_siêu iu_nha mọi người,positive
gói hàng cực_kì cẩn_thận luôn ạ,positive
gì ta giao hàng cực_kì nhanh,positive
10 điểm ạ,positive
tốt lượng giao hàng nhanh,positive
sản_phẩm đúng chính hãng,
lần đầu mua nên cũng hồi_hộp nhưng shiper rất uy_tin và chuyên_nghiệp hướng_dẫn rõ_ràng,
hài lòngthumbs up light skin tonethumbs up light skin tone,positive
shop chuẩn_bị giao hàng nhanh hình_ảnh mang tính tốt nhận xu,positive
giao hàng đúng hẹn tốt lượng máy tốt,positive
màu hồng cưng xiu triệu like,positive
sản_phẩm nguyên_vẹn đóng_gói kỹ,
thiết_kế mượt_mà rất ưng màu_sắc tuyệt đẹp khó lựa_chọn tốt_lượng camera ấn_tượng độ phân_giải màn_hình tuyệt_vời,positive
giao hàng nhanh_chóng và an_toàn,positive
sử_dụng vật_liệu tốt_lượng cao,positive
màu quá là xinh_xắn cầm nhẹ_tay lắm nè heart hands light skin toneheart hands light skin toneheart hands light skin toneheart hands light skin toneheart hands light skin toneheart hands light skin toneheart hands light skin toneheart hands light skin toneheart hands light skin toneheart hands light skin tone,positive
tốt lượng camera ấn_tượng thiết_kế mượt_mà rất ưng_độ phân_giải màn_hình tuyệt_vời,positive
các tính_năng đột_phá yêu cổng usb c tốt_lượng camera ấn_tượng,positive
giao hàng nhanh uy_tín ngoài tem_mới của aple còn có tem_mới ngoài của lazada nữa ạ,positive
nên mua nhé mọi người ơi hàng tốt giao nhanh dùng tốt,positive
lần đầu đặt mua đt online,positive
tgian giao hàng hơi lâu,negative
đóng_gói cẩn_thận,negative
hàng nhận về nguyên_tem_mới có tem lazada,
mua cho thằng em_trai cái điện_thoại,negative
cũng là lần đầu_tiên mua thứ đắt vậy đồ điện_tử qua mạng,negative
xem camera thấy mẹ và em đập hộp vui vui,positive
shop gói hàng cẩn_thận và giao nhanh,positive
đủ số_lượng,
tốt lượng tốt,positive
xinh_đỉnh giao hàng nhanh 2 củ xứng_đáng ạ,positive
tốt hàng chính hãng dndjdndnfnfjfjfjfjfjfnfnfnf dndnfnfnfnfnfn,positive
máy đẹp laz giao nhanh lắm uy_tín tin_tưởng giá tốt tốt tốt nhất thị_trường,positive
đây là hàng chính hãng nên tốt_lượng thì okay giao_hành tất nhanh,positive
nguyên đai_nguyên kiện hàng mới 10 phần_trăm giao hàng bằng máy_bay sáng đặt chiều có hàng chính hãng tặng shop 10 sao nè cảm_ơn nhiều,positive
các tính_năng đột_phá yêu cổng usb c_độ phân_giải màn_hình tuyệt_vời,positive
tuổi_thọ pin lâu_dài,negative
tốt_liệu màu hồng tốt_lượng chính hãng chưa active tính_năng chụp hình đẹp giao hàng nhanh_chóng,positive
gói hàng cẩn_thận đệm mút dày nhận hàng không có dấu_hiệu bị móp,negative
có tem niêm_phong của lazada cbi hàng hơi lâu nhưng giao cực nhanh shiper nhiệt_tình giao ngày mưa_gió,positive
màu_sắc tuyệt đẹp khó lựa_chọn thiết_kế mượt_mà rất ưng tốt_lượng camera ấn_tượng,positive
giao hàng nhanh_chóng và an_toàn,positive
độ phân_giải màn_hình tuyệt_vời,positive
rất đáng tiền,positive
máy xịn đóng_gói cẩn_thận giá tốt,positive
newseal chưa bóc máy chuẩn tốt lượng,positive
giao hàng nhanh_chóng và an_toàn,positive
các tính_năng đột_phá yêu cổng usb c lựa_chọn màu_sắc tuyệt_vời giao hàng nhanh_chóng và an_toàn,positive
độ phân_giải màn_hình tuyệt_vời,positive
tuổi_thọ pin lâu_dài,negative
thiết_kế mượt_mà rất ưng dung_lượng lưu_trữ đủ dùng,positive
màu_sắc tuyệt đẹp khó lựa_chọn,positive
máy chính hãng nhưng shop giao hàng cực_kỳ lâu,negative
giao hàng nhanh_chóng và an_toàn,positive
thiết_kế mượt_mà rất ưng,positive
tốt lượng god tính_năng god tốt_liệu god,positive
tính_năng tốt tốt lượng tốt tốt_liệu chuẩn giao hàng nhanh shiper nhiệt_tình thân_thiện,positive
chất_lượng khi nhận hàng được đảm_bảo đúng mẫu_mã không có tình_trạng trầy_xước hay móp méo,positive
tốt,positive
tốt,positive
tốt,positive
tot,
giao hàng chậm nhân_viên thách_thức thích hủy thì hủy đi,negative
chọn trả_góp nhưng sao kê lại không được chuyển_đổi trả_góp làm_ăn mất uy_tín,negative
thiết_kế đẹp_mắt tính_năng sạc nhanh tốt_lượng camera ấn_tượng các tính_năng đổi_mới giá_trị tuyệt_vời cho số tiền,positive
quality god fast,negative
đúng chính hãng đúng màu đẹp giá ổn khuyến_khích mọi người mua thích màu xanh_dương và xanh lá hơn cảm_ơn cửa_hàng nhé,positive
giao hàng nhanh_chóng có 1 ngày à quá nhanh,positive
màu hồng đẹp xinh_cực_kỳ cảm_ơn đội_ngũ lazada năm nay giao_nhận nhạn hơn moi năm,positive
tính_năng tốt tốt lượng tốt tốt_liệu tốt nhân_viên lazada hỗ_trợ rất nhiệt_tình tỉ_mỉ,positive
đóng_gói rất cẩn_thận hàng chuẩn chính hãng,positive
mua trên lazada còn rẻ hơn mua tại cửa_hàng,
lại còn được trả_góp 0,negative
quá tuyệt,positive
đã nhiều lần mua nên rất yên_tâm,
lazada có thêm tem dán quanh nên rất yên_tâm,
tậu mới đi mọi người ơi,
đã nhận được điên sau 1 ngayd,negative
bóc tem_mới và kích_hoạt như ngoài tiệm,negative
lần đầu mua onl và được khuyến_mãi rất hài_lòng,positive
giao hàng nhanh hàng lazmal aple chính hãng việt_nam,positive
máy đẹp giao hàng nhanh,positive
ưng_ý về sản_phẩm,
sẽ còn mua tiếp nếu có tiền,
