Platform_x,URL,Date Crawled,Product Title,Current Price,Discounted Price,Rating Average,Rating Count,Platform_y,Customer Name,Time Comment,Content,status,content_rate
CellPhones,https://cellphones.com.vn/iphone-15.html,3/10/2024,iPhone 15 128GB | Chính hãng VN/A,22.990.000đ,19.990.000đ,4.9/5,7 đánh giá,CellPhones,Trương Tấn Đô,31/3/2024 04:59,mong duyệt giúp em khoản góp,Đã mua tại CellphoneS,"Hiệu năng Siêu mạnh mẽ
Thời lượng pin Cực khủng
Chất lượng camera Chụp đẹp, chuyên nghiệp
mong duyệt giúp em khoản góp"
CellPhones,https://cellphones.com.vn/iphone-15.html,3/10/2024,iPhone 15 128GB | Chính hãng VN/A,22.990.000đ,19.990.000đ,4.9/5,7 đánh giá,CellPhones,Mai Tùng,2/3/2024 09:39,Nhân viên bắc tư vấn nhiệt tình nhưng mua tặng nên mua máy thôi,,"Hiệu năng Siêu mạnh mẽ
Thời lượng pin Cực khủng
Chất lượng camera Chụp đẹp, chuyên nghiệp
Nhân viên bắc tư vấn nhiệt tình nhưng mua tặng nên mua máy thôi"
CellPhones,https://cellphones.com.vn/iphone-15.html,3/10/2024,iPhone 15 128GB | Chính hãng VN/A,22.990.000đ,19.990.000đ,4.9/5,7 đánh giá,CellPhones,Ngọc Linh Huyết Kiều (Huyết Kiều Ngọc Linh),7/11/2023 17:04,"Tần số quét
60 Hz
Độ sáng tối đa
2000 nits
Tốc độ CPU
3.46 GHz
Dung lượng pin
3349 mAh
Hệ điều hành
iOS 17
Chip xử lý (CPU)
Apple A16 Bionic 6 nhân",,"Hiệu năng Siêu mạnh mẽ
Thời lượng pin Cực khủng
Chất lượng camera Chụp đẹp, chuyên nghiệp
Tần số quét
60 Hz
Độ sáng tối đa
2000 nits
Tốc độ CPU
3.46 GHz
Dung lượng pin
3349 mAh
Hệ điều hành
iOS 17
Chip xử lý (CPU)
Apple A16 Bionic 6 nhân"
CellPhones,https://cellphones.com.vn/iphone-15.html,3/10/2024,iPhone 15 128GB | Chính hãng VN/A,22.990.000đ,19.990.000đ,4.9/5,7 đánh giá,CellPhones,Nguyễn Trần Thụy,7/11/2023 02:19,Awesome phone! Quá tốt,,"Hiệu năng Siêu mạnh mẽ
Thời lượng pin Cực khủng
Chất lượng camera Chụp đẹp, chuyên nghiệp
Awesome phone! Quá tốt"
CellPhones,https://cellphones.com.vn/iphone-15.html,3/10/2024,iPhone 15 128GB | Chính hãng VN/A,22.990.000đ,19.990.000đ,4.9/5,7 đánh giá,CellPhones,Hiep Nguyen Huy,7/11/2023 02:12,mọi thử ổn trừ camera trước,,"Hiệu năng Siêu mạnh mẽ
Thời lượng pin Cực khủng
Chất lượng camera Chụp không đẹp
mọi thử ổn trừ camera trước"
CellPhones,https://cellphones.com.vn/iphone-15.html,3/10/2024,iPhone 15 128GB | Chính hãng VN/A,22.990.000đ,19.990.000đ,4.9/5,7 đánh giá,CellPhones,Nguyễn Trịnh Huy Anh,31/10/2023 21:02,sp tốt nhân viên nhiệt tình,,"Hiệu năng Siêu mạnh mẽ
Thời lượng pin Cực khủng
Chất lượng camera Chụp đẹp, chuyên nghiệp
sp tốt nhân viên nhiệt tình"
CellPhones,https://cellphones.com.vn/iphone-15.html,3/10/2024,iPhone 15 128GB | Chính hãng VN/A,22.990.000đ,19.990.000đ,4.9/5,7 đánh giá,CellPhones,Why,22/10/2023 02:48,Tôi rất hài lòng,,"Hiệu năng Siêu mạnh mẽ
Thời lượng pin Cực khủng
Chất lượng camera Chụp đẹp, chuyên nghiệp
Tôi rất hài lòng"
CellPhones,https://cellphones.com.vn/iphone-15.html,3/10/2024,iPhone 15 128GB | Chính hãng VN/A,22.990.000đ,19.990.000đ,4.9/5,7 đánh giá,CellPhones,Trương Hoàng Phúc,20/10/2023 21:22,"Các anh chị ở đây rất nhiệt tình, tuyệt vời. Hỗ trợ mình thanh toán với mức giá cực tốt. Về trải nghiệm iphone 15, sạc rất nhanh 10p 36% lên 52%, pin xài cả ngày.",,"Hiệu năng Siêu mạnh mẽ
Thời lượng pin Cực khủng
Chất lượng camera Chụp đẹp, chuyên nghiệp
Các anh chị ở đây rất nhiệt tình, tuyệt vời. Hỗ trợ mình thanh toán với mức giá cực tốt. Về trải nghiệm iphone 15, sạc rất nhanh 10p 36% lên 52%, pin xài cả ngày."
CellPhones,https://cellphones.com.vn/iphone-15-256gb.html,3/10/2024,iPhone 15 256GB | Chính hãng VN/A,25.990.000đ,23.990.000đ,,,,,,,,
CellPhones,https://cellphones.com.vn/iphone-15-512gb.html,3/10/2024,iPhone 15 512GB | Chính hãng VN/A,,,,,,,,,,
CellPhones,https://cellphones.com.vn/iphone-15-plus.html,3/10/2024,iPhone 15 Plus 128GB | Chính hãng VN/A,25.990.000đ,22.990.000đ,5.0/5,5 đánh giá,CellPhones,Đông,,Good job amazing,,"Hiệu năng Siêu mạnh mẽ
Thời lượng pin Cực khủng
Chất lượng camera Chụp đẹp, chuyên nghiệp
Good job amazing"
CellPhones,https://cellphones.com.vn/iphone-15-plus.html,3/10/2024,iPhone 15 Plus 128GB | Chính hãng VN/A,25.990.000đ,22.990.000đ,5.0/5,5 đánh giá,CellPhones,Nguyễn thị ngọc hà,,Bạn huyen bán máy báo tớ,,"Hiệu năng Siêu mạnh mẽ
Thời lượng pin Cực khủng
Chất lượng camera Chụp đẹp, chuyên nghiệp
Bạn huyen bán máy báo tớ"
CellPhones,https://cellphones.com.vn/iphone-15-plus.html,3/10/2024,iPhone 15 Plus 128GB | Chính hãng VN/A,25.990.000đ,22.990.000đ,5.0/5,5 đánh giá,CellPhones,Hà Huyền,,"Mình mới mua con này cho em cách đâu 2 ngày còn nguyên hộp chưa khui, mà em mình muốn đổi lên 15prm mà phí đổi 20% cáo quá.có ai cần mình pass lại giá trao đổi ạ",,"Hiệu năng Siêu mạnh mẽ
Thời lượng pin Cực khủng
Chất lượng camera Chụp đẹp, chuyên nghiệp
Mình mới mua con này cho em cách đâu 2 ngày còn nguyên hộp chưa khui, mà em mình muốn đổi lên 15prm mà phí đổi 20% cáo quá.có ai cần mình pass lại giá trao đổi ạ"
CellPhones,https://cellphones.com.vn/iphone-15-plus.html,3/10/2024,iPhone 15 Plus 128GB | Chính hãng VN/A,25.990.000đ,22.990.000đ,5.0/5,5 đánh giá,CellPhones,Phạm đức phương,,Cho m hỏi ip 15 plus xanh duong khi nao có hàng vậy ạ,,"Hiệu năng Siêu mạnh mẽ
Thời lượng pin Cực khủng
Chất lượng camera Chụp đẹp, chuyên nghiệp
Cho m hỏi ip 15 plus xanh duong khi nao có hàng vậy ạ"
CellPhones,https://cellphones.com.vn/iphone-15-plus.html,3/10/2024,iPhone 15 Plus 128GB | Chính hãng VN/A,25.990.000đ,22.990.000đ,5.0/5,5 đánh giá,CellPhones,Minh Khoẻ Phạm,,giao hàng nhanh nhân viên nhiệt tình,,"Hiệu năng Siêu mạnh mẽ
Thời lượng pin Cực khủng
Chất lượng camera Chụp đẹp, chuyên nghiệp
giao hàng nhanh nhân viên nhiệt tình"
CellPhones,https://cellphones.com.vn/iphone-15-plus-256gb.html,3/10/2024,iPhone 15 Plus 256GB | Chính hãng VN/A,28.990.000đ,26.990.000đ,,,,,,,,
CellPhones,https://cellphones.com.vn/iphone-15-plus-512gb.html,3/10/2024,iPhone 15 Plus 512GB | Chính hãng VN/A,,,5.0/5,1 đánh giá,CellPhones,Nguyễn Lê tấn tài,2/10/2023 20:31,Bao lâu iphone15 plus 512 hồng có hàng vậy shop,,Bao lâu iphone15 plus 512 hồng có hàng vậy shop
CellPhones,https://cellphones.com.vn/iphone-15-pro.html,3/10/2024,iPhone 15 Pro 128GB | Chính hãng VN/A,28.990.000đ,26.390.000đ,5.0/5,3 đánh giá,CellPhones,Lê Vy,31/10/2023 10:25,"Đã trải nghiệm ip15 pro ở CellphoneS, máy đẹp, sử dụng thoải mái, test máy mượt",,"Hiệu năng Siêu mạnh mẽ
Thời lượng pin Cực khủng
Chất lượng camera Chụp đẹp, chuyên nghiệp
Đã trải nghiệm ip15 pro ở CellphoneS, máy đẹp, sử dụng thoải mái, test máy mượt"
CellPhones,https://cellphones.com.vn/iphone-15-pro.html,3/10/2024,iPhone 15 Pro 128GB | Chính hãng VN/A,28.990.000đ,26.390.000đ,5.0/5,3 đánh giá,CellPhones,TRAM PHAM,25/10/2023 12:01,"Sản phẩm tốt, chỉnh sửa video mượt, thao tác nhanh chóng, cầm nhẹ hơn 14 Pro",,"Hiệu năng Siêu mạnh mẽ
Thời lượng pin Cực khủng
Chất lượng camera Chụp đẹp, chuyên nghiệp
Sản phẩm tốt, chỉnh sửa video mượt, thao tác nhanh chóng, cầm nhẹ hơn 14 Pro"
CellPhones,https://cellphones.com.vn/iphone-15-pro.html,3/10/2024,iPhone 15 Pro 128GB | Chính hãng VN/A,28.990.000đ,26.390.000đ,5.0/5,3 đánh giá,CellPhones,Nguyễn Nhật Trung,25/10/2023 11:56,"IP 15 Pro màn nhỏ cầm vừa tay, mượt, màu titan trắng đẹp lắm",,"Hiệu năng Siêu mạnh mẽ
Thời lượng pin Cực khủng
Chất lượng camera Chụp đẹp, chuyên nghiệp
IP 15 Pro màn nhỏ cầm vừa tay, mượt, màu titan trắng đẹp lắm"
