Platform,Date_Crawl,brand,product_name,current_price,discount_price,discount,sold_quanlity,rating_average,rating_count,time_comment,content_cmt,status,color,capacy
Lazada,3/13/2024,Apple,Apple iPhone 15,25.990.000 ₫,24.690.000 ₫,-5%,707,,147,11/14/2023,Mua hàng chính hãng tại Apple flagship store thì không phải lo nữa rồi. Màu hồng siêu iu nha mọi người. Gói hàng cực kì cẩn thận luôn ạ. J&T giao hàng cực kì nhanh. 100 điểm ạ,,Pink,128GB
Lazada,3/13/2024,Apple,Apple iPhone 15,25.990.000 ₫,24.690.000 ₫,-5%,707,,147,12/2/2023,"Chất lượng:  
- Giao hàng nhanh. 
- SP đúng chính hãng. 
- Lần đầu mua nên cũng hồi hộp, nhưng shipper rất uy tin và chuyên nghiệp, hướng dẫn rõ ràng.
Hài lòng👍🏻👍🏻",,Xanh dương,128GB
Lazada,3/13/2024,Apple,Apple iPhone 15,25.990.000 ₫,24.690.000 ₫,-5%,707,,147,4/21/2024,"Shop chuẩn bị giao hàng nhanh, hình ảnh mang tính chất nhận xu",,Black,128GB
Lazada,3/13/2024,Apple,Apple iPhone 15,25.990.000 ₫,24.690.000 ₫,-5%,707,,147,10/17/2023,"Giao hàng đúng hẹn, chất lượng máy tốt",,Màu Xanh Lá Cây,256GB
Lazada,3/13/2024,Apple,Apple iPhone 15,25.990.000 ₫,24.690.000 ₫,-5%,707,,147,9/30/2023,"Màu hồng cưng xiu, triệu like",,Hồng,256GB
Lazada,3/13/2024,Apple,Apple iPhone 15,25.990.000 ₫,24.690.000 ₫,-5%,707,,147,11/14/2023,Mua hàng chính hãng tại Apple flagship store thì không phải lo nữa rồi. Màu hồng siêu iu nha mọi người. Gói hàng cực kì cẩn thận luôn ạ. J&T giao hàng cực kì nhanh. 100 điểm ạ,,Pink,128GB
Lazada,3/13/2024,Apple,Apple iPhone 15,25.990.000 ₫,24.690.000 ₫,-5%,707,,147,12/2/2023,"Chất lượng:  
- Giao hàng nhanh. 
- SP đúng chính hãng. 
- Lần đầu mua nên cũng hồi hộp, nhưng shipper rất uy tin và chuyên nghiệp, hướng dẫn rõ ràng.
Hài lòng👍🏻👍🏻",,Xanh dương,128GB
Lazada,3/13/2024,Apple,Apple iPhone 15,25.990.000 ₫,24.690.000 ₫,-5%,707,,147,4/21/2024,"Shop chuẩn bị giao hàng nhanh, hình ảnh mang tính chất nhận xu",,Black,128GB
Lazada,3/13/2024,Apple,Apple iPhone 15,25.990.000 ₫,24.690.000 ₫,-5%,707,,147,10/17/2023,"Giao hàng đúng hẹn, chất lượng máy tốt",,Màu Xanh Lá Cây,256GB
Lazada,3/13/2024,Apple,Apple iPhone 15,25.990.000 ₫,24.690.000 ₫,-5%,707,,147,9/30/2023,"Màu hồng cưng xiu, triệu like",,Hồng,256GB
Lazada,3/13/2024,Apple,Apple iPhone 15,25.990.000 ₫,24.690.000 ₫,-5%,707,,147,12/16/2023,"Sản phẩm nguyên vẹn, đóng gói kỹ  ",,Xanh dương,128GB
Lazada,3/13/2024,Apple,Apple iPhone 15,25.990.000 ₫,24.690.000 ₫,-5%,707,,147,12/14/2023,"Thiết kế mượt mà, rất ưng!, Màu sắc tuyệt đẹp, khó lựa chọn!, Chất lượng camera ấn tượng!, Độ phân giải màn hình tuyệt vời., Giao hàng nhanh chóng và an toàn., Sử dụng vật liệu chất lượng cao.,  ",,Pink,128GB
Lazada,3/13/2024,Apple,Apple iPhone 15,25.990.000 ₫,24.690.000 ₫,-5%,707,,147,12/18/2023,Màu quá là xinh xắn cầm nhẹ tay lắm nè 🫶🏻🫶🏻🫶🏻🫶🏻🫶🏻🫶🏻🫶🏻🫶🏻🫶🏻🫶🏻 ,,Pink,128GB
Lazada,3/13/2024,Apple,Apple iPhone 15,25.990.000 ₫,24.690.000 ₫,-5%,707,,147,1/17/2024,"Chất lượng camera ấn tượng!, Thiết kế mượt mà, rất ưng!, Độ phân giải màn hình tuyệt vời., Các tính năng đột phá, yêu cổng USB-C!, Chất lượng camera ấn tượng!,  ",,Pink,128GB
Lazada,3/13/2024,Apple,Apple iPhone 15,25.990.000 ₫,24.690.000 ₫,-5%,707,,147,9/29/2023,"Giao hàng nhanh, uy tín, ngoài seal của apple còn có seal ngoài của lazada nữa ạ. Nên mua nhé mọi ng ơi! 
Hàng chất, giao nhanh, dùng tốt.  ",,,
Lazada,3/13/2024,Apple,Apple iPhone 15,25.990.000 ₫,24.690.000 ₫,-5%,707,,147,11/18/2023,"Lần đầu đặt mua đt online. Tgian giao hàng hơi lâu. Đóng gói cẩn thận. Hàng nhận về nguyên seal, có tem lazada ",,Xanh dương,128GB
Lazada,3/13/2024,Apple,Apple iPhone 15,25.990.000 ₫,24.690.000 ₫,-5%,707,,147,11/13/2023,"Mua cho thằng em trai cái điện thoại. Cũng là lần đầu tiên mua thứ đắt vậy, đồ điện tử qua mạng. Xem camera thấy mẹ và em đập hộp vui vui ",,Black,128GB
Lazada,3/13/2024,Apple,Apple iPhone 15,25.990.000 ₫,24.690.000 ₫,-5%,707,,147,11/23/2023,Shop gói hàng cẩn thận và giao nhanh. Đủ số lượng. Chất lượng tốt ,,Màu Xanh Lá Cây,256GB
Lazada,3/13/2024,Apple,Apple iPhone 15,25.990.000 ₫,24.690.000 ₫,-5%,707,,147,10/27/2023,Xinh đỉnh giao hàng nhanh :*** 22 củ xứng đáng ạ ,,Pink,128GB
Lazada,3/13/2024,Apple,Apple iPhone 15,25.990.000 ₫,24.690.000 ₫,-5%,707,,147,11/18/2023,"OK hàng chính hãng 






Dndjdndnfnfjfjfjfjfjfnfnfnf
Dndnfnfnfnfnfn
 ",,Black,128GB
Lazada,3/13/2024,Apple,Apple iPhone 15,25.990.000 ₫,24.690.000 ₫,-5%,707,,147,1/28/2024,"Máy đẹp, Laz giao nhanhhh lắm, uy tín - tin tưởng - giá tốt tốt tốt nhất thị trường ",,,
