Sentence #,Word,POS,Tag
0,hàng_chính_hãng,N,B-OBJ
0,flagship,N,B-ORG
0,store,N,O
0,hồng_siêu_iu,V,O
0,gói_hàng,N,B-OBJ
0,cẩn_thận,A,O
0,giao_hàng,N,B-OBJ
0,nhanh,A,B-ADJ
0,tuyệt,A,B-ADJ
1,chất_lượng,A,B-ADJ
1,giao_hàng,N,B-OBJ
1,nhanh,A,B-ADJ
1,sản_phẩm,N,B-OBJ
1,đúng,A,O
1,chính_hãng,N,B-OBJ
1,shipper_uy_tín,N,O
1,chuyên_nghiệp,A,O
1,hướng_dẫn,N,O
1,rõ_ràng,N,B-OBJ
1,hài_lòng,M,B-OBJ
2,chuẩn,N,O
2,giao_hàng,N,B-OBJ
2,nhanh,A,B-ADJ
2,hình_ảnh,N,B-OBJ
2,tính_chất,M,B-OBJ
3,giao_hàng,N,B-OBJ
3,đúng,A,O
3,hẹn,N,O
3,chất_lượng,A,B-ADJ
3,máy,N,O
3,tốt,A,O
4,hồng,N,B-OBJ
4,cưng,N,O
4,xiu,M,O
5,sản_phẩm,N,B-OBJ
5,nguyên_vẹn,A,O
5,đóng_gói,N,B-OBJ
5,kỹ,A,O
6,thiết_kế,N,B-OBJ
6,mượt_tuyệt,N,O
6,đẹp,A,O
6,lựa,V,O
6,chất_lượng,A,B-ADJ
6,camera,N,B-OBJ
6,ấn_tượng,A,B-ADJ
6,phân_giải_màn_hình,N,B-OBJ
6,tuyệt_vời,A,O
6,giao_hàng,N,B-OBJ
6,nhanh_chóng_dụng,A,O
6,vật_liệu,N,B-OBJ
6,chất_lượng,A,B-ADJ
7,xinh_xắn,N,O
7,cầm,V,O
7,nhẹ_tay,M,O
8,chất_lượng,A,B-ADJ
8,camera,N,B-OBJ
8,ấn_tượng,A,B-ADJ
8,thiết_kế,N,B-OBJ
8,mượt_phân_giải_màn_hình,N,O
8,tuyệt_vời,A,O
8,tính_năng,N,B-OBJ
8,đột_phá,A,O
8,cổng,N,O
8,usb,N,B-OBJ
8,chất_lượng,A,B-ADJ
8,camera,N,B-OBJ
8,ấn_tượng,A,B-ADJ
9,giao_hàng,N,B-OBJ
9,nhanh,A,B-ADJ
9,uy_tín,A,B-ADJ
9,tem_mới,N,O
9,tem_mới,N,O
9,lazada,N,B-ORG
9,hàng,N,B-OBJ
9,chất,A,O
9,giao,N,B-OBJ
9,nhanh,A,B-ADJ
9,tốt,A,O
10,điện_thoại,N,B-OBJ
10,giao_hàng,N,B-OBJ
10,đóng_gói,N,B-OBJ
10,cẩn_thận,A,O
10,hàng_nguyên_tem_mới,N,O
10,tem,N,B-OBJ
10,lazada,N,B-ORG
11,điện_thoại,N,B-OBJ
11,tiên đắt_điện_tử,N,O
11,camera,N,B-OBJ
11,đập,V,O
11,hộp,N,O
11,vui,A,O
11,vui,A,O
12,gói_hàng,N,B-OBJ
